"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.481953333E-1,-1.113085327E0,5.196593628E0,6.168223114E0,8.141899082E0
6.581473333E-1,-1.648072815E0,5.031037903E0,6.390510864E0,8.298561049E0
6.680993333E-1,-2.106868744E0,4.846022644E0,6.827601929E0,8.633595975E0
6.780513333E-1,-2.410886536E0,4.676874390E0,7.516918488E0,9.175488624E0
6.880043333E-1,-2.611319733E0,4.461921387E0,8.099656677E0,9.608963081E0
6.979563333E-1,-2.816393280E0,4.183200989E0,8.399333496E0,9.796940584E0
7.079083333E-1,-2.968926086E0,3.947141876E0,8.445587311E0,9.783782301E0
7.178613333E-1,-2.989433441E0,3.979324951E0,8.575666809E0,9.915331592E0
7.278133333E-1,-2.994522858E0,4.198768616E0,9.115294647E0,1.047308080E1
7.377653333E-1,-2.990930328E0,4.216880951E0,9.578132172E0,1.088431739E1
7.477183333E-1,-2.952909393E0,4.013004913E0,9.900262299E0,1.108327911E1
7.576703333E-1,-3.046913910E0,3.907025299E0,1.014156052E1,1.128715114E1
7.676223333E-1,-3.218756561E0,3.890709229E0,1.031774414E1,1.148711697E1
7.775743333E-1,-3.300486603E0,3.848646698E0,1.029603928E1,1.147665971E1
7.875273333E-1,-3.199446716E0,3.788471832E0,1.009815079E1,1.124996122E1
7.974793333E-1,-2.887196045E0,3.858077087E0,9.758207703E0,1.088316486E1
8.074313333E-1,-2.518363037E0,4.112847290E0,9.333540802E0,1.050583881E1
8.173843333E-1,-2.280807037E0,4.414320374E0,8.926836548E0,1.021649235E1
8.273363333E-1,-2.166444855E0,4.644391937E0,8.634195099E0,1.004057691E1
8.372883333E-1,-1.975442047E0,4.810995483E0,8.522078247E0,9.983680006E0
8.472403333E-1,-1.690434723E0,4.896168365E0,8.373137970E0,9.845784564E0
8.571933333E-1,-1.400337982E0,4.935835876E0,8.152496796E0,9.632581495E0
8.671453333E-1,-1.197809143E0,5.052892456E0,7.992180176E0,9.531076166E0
8.770973333E-1,-1.056203613E0,5.198988647E0,8.016280060E0,9.612793300E0
8.870503333E-1,-9.496252441E-1,5.241649933E0,8.196056213E0,9.775071334E0
8.970023333E-1,-9.084608459E-1,5.128335571E0,8.264913025E0,9.769028311E0
9.069543333E-1,-1.044677582E0,4.955295410E0,8.213270416E0,9.649047351E0
9.169073333E-1,-1.316212921E0,4.830754395E0,8.094118195E0,9.517528767E0
9.268593333E-1,-1.574126587E0,4.789739685E0,7.994425507E0,9.451471840E0
9.368113333E-1,-1.760638733E0,4.870721283E0,8.063731384E0,9.583712141E0
9.467633333E-1,-1.779798889E0,5.076243896E0,8.343948669E0,9.927608754E0
9.567163333E-1,-1.631756744E0,5.340893555E0,8.736432495E0,1.036884886E1
9.666683333E-1,-1.246457977E0,5.599705353E0,9.196425934E0,1.083903167E1
9.766203333E-1,-7.381150818E-1,5.873036957E0,9.656119995E0,1.132598915E1
9.865733333E-1,-3.743714905E-1,6.109694824E0,9.981393585E0,1.170883183E1
9.965253333E-1,-1.318757629E-1,6.243516541E0,1.013991394E1,1.190868359E1
