"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.404427083E-1	7.993377686E-2	9.466464386E0	1.126407623E0	9.533579155E0
6.504147083E-1	2.080673218E-1	9.486223297E0	1.030756531E0	9.544327293E0
6.603867083E-1	3.143463135E-1	9.508975983E0	1.053808594E0	9.572353441E0
6.703577083E-1	3.917353821E-1	9.517657928E0	1.061891785E0	9.584721343E0
6.803297083E-1	4.755610657E-1	9.500593414E0	1.071771240E0	9.572676070E0
6.903017083E-1	5.186714172E-1	9.495503998E0	1.012045441E0	9.563359880E0
7.002737083E-1	5.810916138E-1	9.543404388E0	1.012644196E0	9.614555791E0
7.102447083E-1	6.469546509E-1	9.612261200E0	1.095721436E0	9.696118871E0
7.202167083E-1	7.384144592E-1	9.808802490E0	1.303788757E0	9.922586726E0
7.301887083E-1	8.421487427E-1	1.007120682E1	1.756148071E0	1.025780080E1
7.401607083E-1	9.695338440E-1	1.028107040E1	2.368225250E0	1.059475792E1
7.501317083E-1	8.987310791E-1	1.032956955E1	2.651585999E0	1.070227233E1
7.601037083E-1	7.577243042E-1	1.027448410E1	2.535876617E0	1.060989349E1
7.700757083E-1	6.050418091E-1	1.011761032E1	2.176324310E0	1.036670158E1
7.800467083E-1	4.513114929E-1	9.990524597E0	1.716181183E0	1.014689813E1
7.900187083E-1	3.772155762E-1	9.962832184E0	1.187630310E0	1.004045728E1
7.999907083E-1	3.097059631E-1	9.908345490E0	7.357200623E-1	9.940448286E0
8.099627083E-1	2.613565063E-1	9.853559418E0	3.583547974E-1	9.863536819E0
8.199337083E-1	2.676434326E-1	9.797426147E0	2.704875183E-1	9.804812880E0
8.299057083E-1	2.659968567E-1	9.774074707E0	4.149371338E-1	9.786493935E0
8.398777083E-1	2.168989563E-1	9.653126221E0	4.686753845E-1	9.666930620E0
8.498497083E-1	4.760101318E-2	9.512269135E0	3.797602844E-1	9.519965747E0
8.598207083E-1	-1.248403931E-1	9.389674072E0	2.430944824E-1	9.393649942E0
8.697927083E-1	-1.749861145E-1	9.316925354E0	2.044747925E-1	9.320811560E0
8.797647083E-1	-1.100212097E-1	9.338929596E0	9.370513916E-2	9.340047715E0
8.897367083E-1	-6.960525513E-2	9.438322906E0	-1.365161133E-1	9.439566771E0
8.997077083E-1	-1.496887207E-4	9.520651703E0	-3.303630066E-1	9.526381715E0
9.096797083E-1	2.314187622E-1	9.683962097E0	-3.995191956E-1	9.694962204E0
9.196517083E-1	4.146377563E-1	9.914931793E0	-3.109034729E-1	9.928467047E0
9.296237083E-1	5.140310669E-1	9.979896698E0	-2.857557678E-1	9.997210731E0
9.395947083E-1	4.926255798E-1	9.900411987E0	-5.140310669E-1	9.925979318E0
9.495667083E-1	3.481759644E-1	9.786049805E0	-7.012916565E-1	9.817321797E0
9.595387083E-1	3.505709839E-1	9.719588013E0	-6.762936401E-1	9.749393019E0
9.695107083E-1	3.995191956E-1	9.707313538E0	-4.869374084E-1	9.727726340E0
9.794817083E-1	5.291496277E-1	9.749825134E0	-2.692900085E-1	9.767886495E0
9.894537083E-1	6.912625122E-1	9.791139221E0	-1.907034302E-1	9.817363134E0
9.994257083E-1	8.104147339E-1	9.845925293E0	-1.704954529E-1	9.880692568E0
1.009397708E0	6.806346130E-1	9.860145721E0	-2.350112915E-1	9.886403159E0
1.019368708E0	3.239263916E-1	9.780661011E0	-4.309538269E-1	9.795508119E0
1.029340708E0	-1.148112488E-1	9.763297119E0	-4.644841003E-1	9.775013951E0
1.039312708E0	-5.376818848E-1	9.764943695E0	-3.944297791E-1	9.787686245E0
1.049283708E0	-7.646099854E-1	9.785151672E0	-2.047741699E-1	9.817115368E0
1.059255708E0	-8.131091309E-1	9.926906891E0	-3.891906738E-3	9.960152711E0
1.069227708E0	-4.808001709E-1	1.026834686E1	6.300398254E-1	1.029888665E1
1.079199708E0	-2.263293457E-1	1.061757065E1	1.544188843E0	1.073166113E1
1.089170708E0	-7.933502197E-2	1.083506836E1	1.939516754E0	1.100757583E1
1.099142708E0	5.643264771E-2	1.094688583E1	1.928888855E0	1.111566940E1
1.109114708E0	2.616558838E-1	1.108504852E1	1.893861694E0	1.124871000E1
1.119086708E0	3.793112183E-1	1.121467896E1	1.643432465E0	1.134080118E1
1.129057708E0	4.472698975E-1	1.130973129E1	1.274749146E0	1.139012984E1
1.139029708E0	4.583468628E-1	1.133847153E1	9.831555176E-1	1.139024202E1
1.149001708E0	3.772155762E-1	1.132170639E1	6.566844177E-1	1.134700672E1
1.158973708E0	1.528321838E-1	1.120839203E1	2.921923828E-1	1.121324154E1
1.168944708E0	-1.248403931E-1	1.098296082E1	5.643264771E-2	1.098381528E1
1.178916708E0	-3.971241760E-1	1.073567505E1	7.319778442E-2	1.074326693E1
1.188888708E0	-4.457730103E-1	1.061712158E1	4.620890808E-1	1.063651778E1
1.198860708E0	-1.333726501E-1	1.064092209E1	1.199306030E0	1.070912443E1
1.208831833E0	2.577639771E-1	1.069885162E1	1.974992981E0	1.088266813E1
1.218803833E0	5.929170227E-1	1.060873901E1	2.476599884E0	1.091010729E1
1.228775833E0	7.354206848E-1	1.033226395E1	2.430346069E0	1.063969473E1
1.238746833E0	4.981640625E-1	1.001791763E1	2.000290375E0	1.022780537E1
1.248718833E0	1.637594604E-1	9.763895874E0	1.249002686E0	9.844820339E0
1.258690833E0	-2.354603577E-1	9.503886566E0	4.553530884E-1	9.517701817E0
1.268662833E0	-5.182223511E-1	9.306447144E0	-1.181044006E-1	9.321612601E0
1.278633833E0	-6.559359741E-1	9.226363678E0	-3.288661194E-1	9.255495213E0
1.288605833E0	-5.734574890E-1	9.200916595E0	-1.481918335E-1	9.219960982E0
1.298577833E0	-3.730242920E-1	9.195976868E0	1.148112488E-1	9.204255499E0
1.308549833E0	-1.083746338E-1	9.206604767E0	4.212240601E-1	9.216872903E0
